,Power,Scan Speed,H_star,Hatch Space,reward
0,50.0,0.2,114.36005069056415,0.0375,-1.0
1,50.0,0.2,98.76549832366904,0.043421052631578944,-1.0
2,50.0,0.2,86.91363852482873,0.049342105263157895,-1.0
3,50.0,0.2,77.6014629685971,0.05526315789473684,-1.0
4,50.0,0.2,70.09164397163609,0.061184210526315785,-1.0
5,50.0,0.2,63.907087150609385,0.06710526315789472,-1.0
6,50.0,0.2,58.7254314356951,0.07302631578947369,-1.0
7,50.0,0.2,54.32102407801798,0.07894736842105263,-1.0
8,50.0,0.2,50.531185188853925,0.08486842105263157,-1.0
9,50.0,0.2,47.23567311131997,0.09078947368421052,-1.0
10,50.0,0.2,44.343693124912626,0.09671052631578947,-1.0
11,50.0,0.2,41.78540313693691,0.10263157894736841,-1.0
12,50.0,0.2,39.506199329467606,0.10855263157894737,-1.0
13,50.0,0.2,37.462775226219286,0.11447368421052631,-1.0
14,50.0,0.2,35.6203436577167,0.12039473684210525,-1.0
15,50.0,0.2,33.95064004876123,0.1263157894736842,-1.0
16,50.0,0.2,32.430462136130124,0.13223684210526315,-1.0
17,50.0,0.2,31.040585187438836,0.1381578947368421,-1.0
18,50.0,0.2,29.764944700283824,0.14407894736842103,-1.0
19,50.0,0.2,28.590012672641038,0.15,-1.0
20,50.0,0.34736842105263155,86.77490956405013,0.0375,-1.0
21,50.0,0.34736842105263155,74.94196735077058,0.043421052631578944,-1.0
22,50.0,0.34736842105263155,65.9489312686781,0.049342105263157895,-1.0
23,50.0,0.34736842105263155,58.88297434703402,0.05526315789473684,-1.0
24,50.0,0.34736842105263155,53.18462199086943,0.061184210526315785,-1.0
25,50.0,0.34736842105263155,48.491861226969206,0.06710526315789472,-1.0
26,50.0,0.34736842105263155,44.56008869505277,0.07302631578947369,-1.0
27,50.0,0.34736842105263155,41.21808204292382,0.07894736842105263,-1.0
28,50.0,0.34736842105263155,38.34240190039425,0.08486842105263157,-1.0
29,50.0,0.34736842105263155,35.84181047210766,0.09078947368421052,-1.0
30,50.0,0.34736842105263155,33.64741391259087,0.09671052631578947,-1.0
31,50.0,0.34736842105263155,31.706216956095247,0.10263157894736841,-1.0
32,50.0,0.34736842105263155,29.976786940308227,0.10855263157894737,-1.0
33,50.0,0.34736842105263155,28.426263477878496,0.11447368421052631,-1.0
34,50.0,0.34736842105263155,27.028250519950046,0.12039473684210525,-1.0
35,50.0,0.34736842105263155,25.76130127682739,0.1263157894736842,-1.0
36,50.0,0.34736842105263155,24.60781017487989,0.13223684210526315,-1.0
37,50.0,0.34736842105263155,23.553189738813607,0.1381578947368421,-1.0
38,50.0,0.34736842105263155,22.585250434478805,0.14407894736842103,-1.0
39,50.0,0.34736842105263155,21.693727391012533,0.15,-1.0
40,50.0,0.49473684210526314,72.71135043897887,0.0375,-1.0
41,50.0,0.49473684210526314,62.79616628820902,0.043421052631578944,-1.0
42,50.0,0.49473684210526314,55.26062633362393,0.049342105263157895,-1.0
43,50.0,0.49473684210526314,49.33984494073567,0.05526315789473684,-1.0
44,50.0,0.49473684210526314,44.5650212367935,0.061184210526315785,-1.0
45,50.0,0.49473684210526314,40.632813480605854,0.06710526315789472,-1.0
46,50.0,0.49473684210526314,37.33826103623239,0.07302631578947369,-1.0
47,50.0,0.49473684210526314,34.53789145851497,0.07894736842105263,-1.0
48,50.0,0.49473684210526314,32.12827112419997,0.08486842105263157,-1.0
49,50.0,0.49473684210526314,30.032949094360834,0.09078947368421052,-1.0
50,50.0,0.49473684210526314,28.194197108991805,0.09671052631578947,-1.0
51,50.0,0.49473684210526314,26.567608814242284,0.10263157894736841,-1.0
52,50.0,0.49473684210526314,25.118466515283608,0.10855263157894737,-1.0
53,50.0,0.49473684210526314,23.819235488631012,0.11447368421052631,-1.0
54,50.0,0.49473684210526314,22.64779767771473,0.12039473684210525,-1.0
55,50.0,0.49473684210526314,21.586182161571855,0.1263157894736842,-1.0
56,50.0,0.49473684210526314,20.619636691650722,0.13223684210526315,-1.0
57,50.0,0.49473684210526314,19.735937976294263,0.1381578947368421,-1.0
58,50.0,0.49473684210526314,18.924872032062996,0.14407894736842103,-1.0
59,50.0,0.49473684210526314,18.177837609744717,0.15,-1.0
60,50.0,0.6421052631578947,63.82432378264416,0.0375,-1.0
61,50.0,0.6421052631578947,55.121006903192686,0.043421052631578944,-1.0
62,50.0,0.6421052631578947,48.50648607480956,0.049342105263157895,-1.0
63,50.0,0.6421052631578947,43.309362566794256,0.05526315789473684,-1.0
64,50.0,0.6421052631578947,39.11813393129803,0.061184210526315785,-1.0
65,50.0,0.6421052631578947,35.666533878536455,0.06710526315789472,-1.0
66,50.0,0.6421052631578947,32.774652753249704,0.07302631578947369,-1.0
67,50.0,0.6421052631578947,30.316553796755983,0.07894736842105263,-1.0
68,50.0,0.6421052631578947,28.201445392331145,0.08486842105263157,-1.0
69,50.0,0.6421052631578947,26.362220692831283,0.09078947368421052,-1.0
70,50.0,0.6421052631578947,24.74820718102529,0.09671052631578947,-1.0
71,50.0,0.6421052631578947,23.3204259975046,0.10263157894736841,-1.0
72,50.0,0.6421052631578947,22.04840276127707,0.10855263157894737,-1.0
73,50.0,0.6421052631578947,20.90796813569378,0.11447368421052631,-1.0
74,50.0,0.6421052631578947,19.87970740770884,0.12039473684210525,-1.0
75,50.0,0.6421052631578947,18.94784612297249,0.1263157894736842,-1.0
76,50.0,0.6421052631578947,18.09943510254088,0.13223684210526315,-1.0
77,50.0,0.6421052631578947,17.323745026717702,0.1381578947368421,-1.0
78,50.0,0.6421052631578947,16.61181029959232,0.14407894736842103,-1.0
79,50.0,0.6421052631578947,15.95608094566104,0.15,-1.0
80,50.0,0.7894736842105263,57.55996324819531,0.0375,-1.0
